yourlist:M20180720A7434721E10EE6586998A056CCD0537E950530A	isomap:M20180720A7434721E10EE6586998A056CCD0537E950530A	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
y2751		Q7CHK7	RLMKL_YERPE	reviewed	Ribosomal RNA large subunit methyltransferase K/L [Includes: 23S rRNA m2G2445 methyltransferase (EC 2.1.1.173) (rRNA (guanine-N(2)-)-methyltransferase RlmL); 23S rRNA m7G2069 methyltransferase (EC 2.1.1.264) (rRNA (guanine-N(7)-)-methyltransferase RlmK)]	rlmL YPO1418 y2751 YP_1175	Yersinia pestis	WP_002211293.1;YP_002346441.1;
y2755		Q8ZG91	PYRD_YERPE	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD YPO1415 y2755 YP_1178	Yersinia pestis	WP_002211296.1;YP_002346438.1;
y2781		Q0WH23	Q0WH23_YERPE	unreviewed	30S ribosomal protein S1	rpsA y2781 YP_1201 C6P89_11390	Yersinia pestis	WP_002211323.1;
y2821		A0A0H2W410	A0A0H2W410_YERPE	unreviewed	Pyruvate dehydrogenase (Cytochrome) (Pyruvate oxidase) (Ubiquinone-dependent pyruvate dehydrogenase)	poxB y2821 YP_1237 C6P89_15610	Yersinia pestis	WP_002211361.1;
y3119		Q8ZH52	ACCA_YERPE	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA YPO1060 y3119 YP_2790	Yersinia pestis	WP_002212147.1;YP_002346103.1;
y3135		Q8ZH65	EFTS_YERPE	reviewed	Elongation factor Ts (EF-Ts)	tsf YPO1045 y3135 YP_2806	Yersinia pestis	WP_002212132.1;YP_002346088.1;
y3137		Q8ZH66	RS2_YERPE	reviewed	30S ribosomal protein S2	rpsB YPO1044 y3137 YP_2807	Yersinia pestis	WP_002221800.1;YP_002346087.1;
y3307		A0A0H2W861	A0A0H2W861_YERPE	unreviewed	Class II fructose-bisphosphate aldolase (Fructose-bisphosphate aldolase class II) (Fructose-bisphosphate aldolase, class II)	fbaA fba y3307 YP_3520 C6P89_13435	Yersinia pestis	WP_002209962.1;
y3310		Q0WIB4	Q0WIB4_YERPE	unreviewed	Transketolase (EC 2.2.1.1)	tktA tkt tktA3 y3310 YP_3516 C6P89_13000	Yersinia pestis	WP_002209965.1;
y3499		A0A0H2W7R1	A0A0H2W7R1_YERPE	unreviewed	Alcohol dehydrogenase (Putative iron-containing alcohol dehydrogenase) (Putative oxidoreductase)	y3499 YP_2993 C6P89_01695	Yersinia pestis	WP_002212174.1;
y3524		Q8ZI60	HLDE_YERPE	reviewed	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE rfaE waaE YPO0654 y3524 YP_2969	Yersinia pestis	WP_002212193.1;YP_002345722.1;
y3529		Q8ZI64	CCA_YERPE	reviewed	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]	cca YPO0650 y3529 YP_2965	Yersinia pestis	WP_002212197.1;YP_002345718.1;
y3537		Q8CZR5	Q8CZR5_YERPE	unreviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD y3537	Yersinia pestis	
y3630		Q0WJB6	Q0WJB6_YERPE	unreviewed	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)	murF y3630 YP_3633 C6P89_18355	Yersinia pestis	WP_002210438.1;
y3631		Q8ZIF4	MURE_YERPE	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE YPO0550 y3631 YP_3634	Yersinia pestis	WP_002228101.1;YP_002345621.1;
y3693		Q8ZIL5	CARA_YERPE	reviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA YPO0481 y3693 YP_3698	Yersinia pestis	WP_002224759.1;YP_002345554.1;
y3697		P58680	ISPH_YERPE	reviewed	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	ispH lytB YPO0477 y3697 YP_3702	Yersinia pestis	WP_002210506.1;YP_002345550.1;
y3804		Q8CZM5	Q8CZM5_YERPE	unreviewed	Glutamine synthetase (EC 6.3.1.2)	glnA y3804	Yersinia pestis	
y3858		Q8CZK9	Q8CZK9_YERPE	unreviewed	Glutamate dehydrogenase	gdhA y3858	Yersinia pestis	
y3913		Q0WKG8	Q0WKG8_YERPE	unreviewed	Putative RNA binding protein, Contains S1 domain (RNA-binding transcriptional accessory protein)	y3913 YP_0135 C6P89_04755	Yersinia pestis	WP_002208916.1;
y3990		Q8ZJA9	RL3_YERPE	reviewed	50S ribosomal protein L3	rplC YPO0210 y3990 YP_0207	Yersinia pestis	WP_002218932.1;YP_002345290.1;
y4001		Q8ZJA0	RL5_YERPE	reviewed	50S ribosomal protein L5	rplE YPO0222 y4001 YP_0219	Yersinia pestis	WP_002213329.1;YP_002345302.1;
